Job Title,Founded,Size,Max,Min,Level of expireince,experience,cat
Quantitative Researcher,14,1,56000,31000,2,3,5
Data scientist/computational biologist,132,3,56000,31000,1,1,2
Quantitative Researcher,35,1,56000,31000,2,3,5
Data Analyst,132,3,56000,31000,2,2,2
Senior Quantitative Analyst,38,3,56000,31000,1,3,3
Senior Data Scientist,6,1,56000,31000,2,4,3
Senior Data Scientist,130,3,56000,31000,3,2,3
Supply Chain/Data Analyst - Merchandising,39,3,56000,31000,1,1,2
Data Scientist,68,3,56000,31000,1,5,2
Associate Food Scientist - Global Expansion Team,114,3,56000,31000,1,2,2
Data Engineer,9,3,56000,31000,2,3,2
Quantitative Analyst,14,1,56000,31000,1,2,2
Data Analyst,10,3,56000,31000,2,3,2
Quantitative Researcher – Intern,32,3,56000,31000,2,3,5
Senior Data Engineer,87,1,56000,31000,1,5,3
Urgent Need - Data Analyst,76,3,56000,31000,1,4,2
Senior Scientist-Wind Vulnerability,130,3,56000,31000,2,2,3
Business Intelligence Analyst,32,3,56000,31000,1,2,2
Business Intelligence Analyst,11,1,81000,39000,1,2,2
SeniorQuantitative Analyst,22,3,81000,39000,1,5,3
Senior Global Data Analyst / Power BI Dashboard Developer,21,3,81000,39000,1,3,3
Senior Data Scientist,14,1,81000,39000,1,7,3
Senior Data Analyst,22,1,81000,39000,2,5,3
Quantitative Researcher,11,1,81000,39000,1,3,5
Senior Data Scientist,18,3,81000,39000,2,5,3
Business Data Analyst,43,1,81000,39000,1,3,2
Data Analyst,28,1,81000,39000,1,3,2
Senior Data Scientist - Telecommute,45,3,81000,39000,1,3,3
Clinical Safety Scientist I,23,1,81000,39000,1,1,2
Lead Data Analyst,11,1,81000,39000,1,3,4
Informatics Scientist - Cardiology AI,7,1,81000,39000,2,2,2
Data Scientist - Cruises & Events,42,3,81000,39000,1,2,2
Software Engineer - Data Platform,21,1,81000,39000,2,5,2
Product Development Scientist - Covid 19,7,1,81000,39000,3,5,2
Data Analyst,23,3,81000,39000,2,3,2
"IoT Data Scientist - Leadeship Role - Chicago, NY, Dallas, or Atlanta",55,3,81000,39000,2,5,4
Data Analyst,139,3,81000,39000,3,3,2
"Quantitative Research Analyst, Global Quantitative Strategies",32,3,81000,39000,1,2,2
Data Engineer II,18,3,174000,99000,1,5,2
Data Analyst,7,1,174000,99000,1,3,2
Data Engineer,9,1,174000,99000,1,5,2
Data Analyst,15,1,174000,99000,1,1,2
Data Engineer,9,1,174000,99000,2,3,2
Data Scientist Senior - Conversation Designer & NLP Analyst,177,3,174000,99000,2,3,3
Senior Data Scientist - Nationwide Opportunities,28,3,174000,99000,1,6,3
Data Engineer – Full-Time,32,3,174000,99000,1,2,2
Senior Decision Scientist,18,3,174000,99000,1,4,3
Computational Scientist-Secure Data,132,3,174000,99000,3,5,2
Data Engineer,22,1,174000,99000,2,3,2
Data Engineer,6,1,174000,99000,2,4,2
Lead Data Scientist,61,3,174000,99000,3,2,4
Cloud Data Engineer,14,1,174000,99000,1,4,2
Quantitative Researcher,19,1,174000,99000,2,2,5
Quantum Principal Data Scientist (Industrial-Process sector),111,3,174000,99000,2,5,2
"Big Data Machine Learning Engineer in Chicago, IL at Key Bank",173,3,174000,99000,1,8,2
Business Intelligence Analyst,37,1,147000,76000,2,5,2
Senior Data Scientist,8,1,147000,76000,1,3,3
Microsoft Analytics Consultant,111,3,147000,76000,1,2,2
Advanced Analytics Consulting Lead,27,1,147000,76000,2,8,4
Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel,18,1,147000,76000,1,3,2
